tweet_id,retweet_count,favorite_count,retweeted_status
826615380357632002,4521,0,This is a retweet
826598799820865537,292,5637,Original tweet
826598365270007810,2709,11117,Original tweet
826476773533745153,4821,20275,Original tweet
826240494070030336,2965,14614,Original tweet
826204788643753985,1075,5361,Original tweet
826115272272650244,3599,17299,Original tweet
825876512159186944,2146,11525,Original tweet
825829644528148480,2848,14025,Original tweet
825535076884762624,19669,56413,Original tweet
825147591692263424,5244,20181,Original tweet
825120256414846976,1483,0,This is a retweet
825026590719483904,1483,7020,Original tweet
824796380199809024,6288,0,This is a retweet
824775126675836928,4069,16508,Original tweet
824663926340194305,1993,11113,Original tweet
824325613288833024,11848,12999,Original tweet
824297048279236611,4463,16625,Original tweet
824025158776213504,679,5255,Original tweet
823939628516474880,3123,11755,Original tweet
823719002937630720,12953,0,This is a retweet
823699002998870016,2772,13826,Original tweet
823581115634085888,3031,14376,Original tweet
823333489516937216,31,777,Original tweet
823322678127919110,4637,17437,Original tweet
823269594223824897,11421,0,This is a retweet
822975315408461824,3958,19139,Original tweet
822872901745569793,48265,132810,Original tweet
822859134160621569,2622,14576,Original tweet
822647212903690241,7390,0,This is a retweet
822610361945911296,3423,16327,Original tweet
822489057087389700,7390,20083,Original tweet
822462944365645825,17209,31800,Original tweet
822244816520155136,11421,38832,Original tweet
822163064745328640,5571,0,This is a retweet
821886076407029760,2692,12582,Original tweet
821813639212650496,3839,0,This is a retweet
821765923262631936,1899,9317,Original tweet
821522889702862852,2030,8871,Original tweet
821421320206483457,6470,0,This is a retweet
821407182352777218,5053,13075,Original tweet
821153421864615936,10,280,Original tweet
821149554670182400,2320,9718,Original tweet
821107785811234820,2487,10645,Original tweet
821044531881721856,2636,14021,Original tweet
820837357901512704,7733,0,This is a retweet
820749716845686786,11525,34984,Original tweet
820690176645140481,3716,13518,Original tweet
820494788566847489,648,0,This is a retweet
820446719150292993,2980,0,This is a retweet
820314633777061888,648,3706,Original tweet
820078625395449857,7246,21979,Original tweet
820013781606658049,1369,0,This is a retweet
819952236453363712,1369,5927,Original tweet
819924195358416896,5607,14305,Original tweet
819711362133872643,3604,14916,Original tweet
819588359383371776,2271,10606,Original tweet
819347104292290561,1383,8008,Original tweet
819238181065359361,462,2550,Original tweet
819227688460238848,7733,25652,Original tweet
819015337530290176,42228,0,This is a retweet
819015331746349057,21794,0,This is a retweet
819006400881917954,21794,49960,Original tweet
819004803107983360,42228,95450,Original tweet
818646164899774465,24069,0,This is a retweet
818627210458333184,8564,24597,Original tweet
818614493328580609,2982,10971,Original tweet
818588835076603904,7126,0,This is a retweet
818536468981415936,2873,12127,Original tweet
818307523543449600,9366,0,This is a retweet
818259473185828864,2621,12197,Original tweet
818145370475810820,3014,13671,Original tweet
817908911860748288,906,5356,Original tweet
817827839487737858,31314,57622,Original tweet
817777686764523521,3084,11901,Original tweet
817536400337801217,3505,13105,Original tweet
817502432452313088,3917,0,This is a retweet
817423860136083457,17504,38260,Original tweet
817415592588222464,1131,6267,Original tweet
817181837579653120,9907,0,This is a retweet
817171292965273600,2326,9690,Original tweet
817120970343411712,3011,13367,Original tweet
817056546584727552,1927,9517,Original tweet
816829038950027264,5496,0,This is a retweet
816816676327063552,2361,11071,Original tweet
